지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,습도(%),습도 QC플래그
108,서울,2025-07-01 00:00,27.7,,,,2.6,,77,
108,서울,2025-07-01 01:00,27.4,,,,2.6,,79,
108,서울,2025-07-01 02:00,27.1,,,,2.7,,81,
108,서울,2025-07-01 03:00,26.9,,,,2.6,,82,
108,서울,2025-07-01 04:00,26.7,,,,3.2,,84,
108,서울,2025-07-01 05:00,26.7,,0,,2.9,,84,
108,서울,2025-07-01 06:00,26.5,,0,,2,,87,
108,서울,2025-07-01 07:00,26.4,,.1,,2.4,,91,
108,서울,2025-07-01 08:00,26.4,,.8,,3.1,,91,
108,서울,2025-07-01 09:00,27,,0,,2.7,,88,
108,서울,2025-07-01 10:00,28.1,,0,,2.9,,83,
108,서울,2025-07-01 11:00,29.1,,0,,2.8,,78,
108,서울,2025-07-01 12:00,29.8,,,9,3.3,,75,
108,서울,2025-07-01 13:00,31.3,,,9,3.2,,71,
108,서울,2025-07-01 14:00,31.6,,,9,2.8,,69,
108,서울,2025-07-01 15:00,31.2,,,9,3.8,,69,
108,서울,2025-07-01 16:00,31.6,,,9,3.4,,69,
108,서울,2025-07-01 17:00,31.2,,,9,4.7,,68,
108,서울,2025-07-01 18:00,31.1,,,9,3.1,,69,
108,서울,2025-07-01 19:00,30.1,,,9,2.7,,71,
108,서울,2025-07-01 20:00,29.4,,,9,3.2,,74,
108,서울,2025-07-01 21:00,28.6,,,9,2.9,,78,
108,서울,2025-07-01 22:00,28.3,,,9,2.9,,79,
108,서울,2025-07-01 23:00,28,,,9,3.2,,81,
108,서울,2025-07-02 00:00,27.8,,,9,2.6,,81,
108,서울,2025-07-02 01:00,27.4,,,,1.9,,82,
108,서울,2025-07-02 02:00,27.2,,,,3.2,,82,
108,서울,2025-07-02 03:00,27,,,,2.5,,83,
108,서울,2025-07-02 04:00,27,,,,2.5,,84,
108,서울,2025-07-02 05:00,26.9,,,,2.4,,84,
108,서울,2025-07-02 06:00,26.8,,,,2.6,,83,
108,서울,2025-07-02 07:00,27,,,,3.4,,82,
108,서울,2025-07-02 08:00,27.4,,,,2.7,,81,
108,서울,2025-07-02 09:00,28.2,,,,3.5,,79,
108,서울,2025-07-02 10:00,28.8,,,,3.7,,77,
108,서울,2025-07-02 11:00,29.1,,,,3.2,,75,
108,서울,2025-07-02 12:00,30.2,,,,4.3,,69,
108,서울,2025-07-02 13:00,30.6,,,,5.2,,67,
108,서울,2025-07-02 14:00,30.2,,,,4.2,,69,
108,서울,2025-07-02 15:00,30.2,,0,,3.6,,69,
108,서울,2025-07-02 16:00,30.4,,,9,3.4,,66,
108,서울,2025-07-02 17:00,30.6,,,9,3.6,,62,
108,서울,2025-07-02 18:00,30.3,,,9,3.2,,67,
108,서울,2025-07-02 19:00,29.5,,,9,3.2,,67,
108,서울,2025-07-02 20:00,28.8,,,9,2.6,,71,
108,서울,2025-07-02 21:00,28.3,,,9,2.9,,78,
108,서울,2025-07-02 22:00,28,,,9,2.1,,79,
108,서울,2025-07-02 23:00,27.8,,,9,2.6,,81,
108,서울,2025-07-03 00:00,27.6,,,9,2.1,,82,
108,서울,2025-07-03 01:00,27.4,,,,2.4,,84,
108,서울,2025-07-03 02:00,27.2,,,,2.2,,85,
108,서울,2025-07-03 03:00,27.1,,,,1.9,,85,
108,서울,2025-07-03 04:00,27,,,,2,,87,
108,서울,2025-07-03 05:00,26.9,,,,2.1,,85,
108,서울,2025-07-03 06:00,26.8,,,,3,,85,
108,서울,2025-07-03 07:00,26.8,,,,3.3,,84,
108,서울,2025-07-03 08:00,27,,,,1.8,,83,
108,서울,2025-07-03 09:00,27.1,,,,3.7,,81,
108,서울,2025-07-03 10:00,27.5,,,,3.2,,80,
108,서울,2025-07-03 11:00,28.2,,,,2.8,,77,
108,서울,2025-07-03 12:00,28.5,,0,,2.9,,75,
108,서울,2025-07-03 13:00,28.6,,,9,4.2,,75,
108,서울,2025-07-03 14:00,30,,,9,2.9,,69,
108,서울,2025-07-03 15:00,31.5,,,9,3.2,,61,
108,서울,2025-07-03 16:00,31.1,,,9,3.5,,61,
108,서울,2025-07-03 17:00,31.5,,,9,4,,56,
108,서울,2025-07-03 18:00,30.5,,,9,2.9,,63,
108,서울,2025-07-03 19:00,29.6,,,9,3,,70,
108,서울,2025-07-03 20:00,28.7,,,9,2.6,,72,
108,서울,2025-07-03 21:00,28,,,9,2.7,,74,
108,서울,2025-07-03 22:00,27.5,,,9,2.3,,76,
108,서울,2025-07-03 23:00,27,,,9,2.2,,79,
108,서울,2025-07-04 00:00,26.5,,,9,3.1,,80,
108,서울,2025-07-04 01:00,26.3,,,,2.9,,80,
108,서울,2025-07-04 02:00,26.1,,,,3.8,,81,
108,서울,2025-07-04 03:00,26,,,,2.6,,80,
108,서울,2025-07-04 04:00,25.8,,,,3,,81,
108,서울,2025-07-04 05:00,25.8,,,,2.4,,82,
108,서울,2025-07-04 06:00,25.7,,,,2.7,,84,
108,서울,2025-07-04 07:00,26,,,,2.9,,82,
108,서울,2025-07-04 08:00,26.6,,,,2.3,,78,
108,서울,2025-07-04 09:00,26.8,,,,3.5,,75,
108,서울,2025-07-04 10:00,27.1,,,,3,,73,
108,서울,2025-07-04 11:00,27.3,,0,,3.2,,75,
108,서울,2025-07-04 12:00,27,,0,,2.8,,76,
108,서울,2025-07-04 13:00,27.4,,0,,4.1,,74,
108,서울,2025-07-04 14:00,29.1,,,9,3.9,,69,
108,서울,2025-07-04 15:00,29.5,,,9,3.9,,67,
108,서울,2025-07-04 16:00,28.9,,0,,3.8,,71,
108,서울,2025-07-04 17:00,28.6,,0,,3.9,,74,
108,서울,2025-07-04 18:00,28.4,,,9,3,,75,
108,서울,2025-07-04 19:00,28.1,,,9,3.2,,76,
108,서울,2025-07-04 20:00,27.7,,,9,3.9,,77,
108,서울,2025-07-04 21:00,27.4,,,9,3,,78,
108,서울,2025-07-04 22:00,27.1,,,9,3.2,,79,
108,서울,2025-07-04 23:00,26.9,,,9,2.3,,81,
108,서울,2025-07-05 00:00,26.7,,,9,3.8,,81,
108,서울,2025-07-05 01:00,26.6,,,,2.6,,81,
108,서울,2025-07-05 02:00,26.5,,,,2.2,,82,
108,서울,2025-07-05 03:00,26.3,,,,2.7,,81,
108,서울,2025-07-05 04:00,26.2,,,,2.5,,83,
108,서울,2025-07-05 05:00,26.1,,,,1.6,,83,
108,서울,2025-07-05 06:00,26,,,,2.8,,81,
108,서울,2025-07-05 07:00,26.2,,,,2.1,,82,
108,서울,2025-07-05 08:00,26.4,,,,2.1,,81,
108,서울,2025-07-05 09:00,27.2,,,,2.4,,77,
108,서울,2025-07-05 10:00,27.7,,,,2.7,,73,
108,서울,2025-07-05 11:00,28.2,,,,2.7,,71,
108,서울,2025-07-05 12:00,29.2,,,,2.8,,68,
108,서울,2025-07-05 13:00,30.3,,,,2.8,,66,
108,서울,2025-07-05 14:00,31.1,,,,2.9,,64,
108,서울,2025-07-05 15:00,32.2,,,,2.8,,61,
108,서울,2025-07-05 16:00,32,,,,3.6,,60,
108,서울,2025-07-05 17:00,31.2,,,,3.8,,61,
108,서울,2025-07-05 18:00,30.7,,,,3.1,,65,
108,서울,2025-07-05 19:00,30.1,,,,2.7,,68,
108,서울,2025-07-05 20:00,29.2,,,,2.7,,71,
108,서울,2025-07-05 21:00,28.7,,,,2.4,,72,
108,서울,2025-07-05 22:00,28,,,,3.4,,76,
108,서울,2025-07-05 23:00,27.4,,,,3.2,,79,
108,서울,2025-07-06 00:00,27.1,,,,3.3,,78,
108,서울,2025-07-06 01:00,26.8,,,,2.9,,79,
108,서울,2025-07-06 02:00,26.6,,,,2.1,,80,
108,서울,2025-07-06 03:00,26.6,,,,2.6,,81,
108,서울,2025-07-06 04:00,26.5,,,,2.4,,82,
108,서울,2025-07-06 05:00,26.5,,,,3.2,,82,
108,서울,2025-07-06 06:00,26.4,,,,3.2,,83,
108,서울,2025-07-06 07:00,26.4,,,,2.9,,82,
108,서울,2025-07-06 08:00,26.4,,,,2.3,,83,
108,서울,2025-07-06 09:00,26.6,,,,2.8,,82,
108,서울,2025-07-06 10:00,27.4,,,,1.8,,79,
108,서울,2025-07-06 11:00,28.6,,,,1.4,,76,
108,서울,2025-07-06 12:00,30.6,,,,2.5,,68,
108,서울,2025-07-06 13:00,31.5,,,,2.7,,63,
108,서울,2025-07-06 14:00,32.6,,,,2.8,,61,
108,서울,2025-07-06 15:00,32.7,,,,2.7,,60,
108,서울,2025-07-06 16:00,32.3,,,,3,,62,
108,서울,2025-07-06 17:00,31.9,,,,3.4,,62,
108,서울,2025-07-06 18:00,32,,,,1.8,,67,
108,서울,2025-07-06 19:00,31.4,,,,2.2,,67,
108,서울,2025-07-06 20:00,30.2,,,,1.7,,72,
108,서울,2025-07-06 21:00,29.5,,,,2.1,,74,
108,서울,2025-07-06 22:00,28.8,,,,2.1,,77,
108,서울,2025-07-06 23:00,28.4,,,,1.5,,79,
108,서울,2025-07-07 00:00,28.2,,,,1.3,,79,
108,서울,2025-07-07 01:00,27.7,,,,2.6,,79,
108,서울,2025-07-07 02:00,27.3,,,,1.8,,81,
108,서울,2025-07-07 03:00,27.2,,,,2.3,,82,
108,서울,2025-07-07 04:00,27,,,,2.4,,81,
108,서울,2025-07-07 05:00,27,,,,2.4,,82,
108,서울,2025-07-07 06:00,26.7,,,,2.8,,85,
108,서울,2025-07-07 07:00,26.8,,,,1.2,,84,
108,서울,2025-07-07 08:00,27.2,,,,1,,84,
108,서울,2025-07-07 09:00,27.5,,,,.8,,83,
108,서울,2025-07-07 10:00,28,,,,1.3,,82,
108,서울,2025-07-07 11:00,28.3,,,,2,,81,
108,서울,2025-07-07 12:00,28.8,,,,1.3,,79,
108,서울,2025-07-07 13:00,30.7,,,,1.6,,74,
108,서울,2025-07-07 14:00,32.3,,,,.8,,70,
108,서울,2025-07-07 15:00,32.8,,,,2.1,,66,
108,서울,2025-07-07 16:00,33,,,,2.1,,67,
108,서울,2025-07-07 17:00,32.8,,,,3.5,,69,
108,서울,2025-07-07 18:00,32.2,,,,2.8,,72,
108,서울,2025-07-07 19:00,30.9,,,,2.8,,75,
108,서울,2025-07-07 20:00,29.7,,,,2.2,,81,
108,서울,2025-07-07 21:00,29.1,,,,1.8,,81,
108,서울,2025-07-07 22:00,28.8,,,,1.4,,82,
108,서울,2025-07-07 23:00,28.6,,,,1.2,,83,
108,서울,2025-07-08 00:00,28.4,,,,1.7,,84,
108,서울,2025-07-08 01:00,28.2,,,,1.4,,85,
108,서울,2025-07-08 02:00,27.9,,,,.8,,87,
108,서울,2025-07-08 03:00,27.7,,,,1.2,,87,
108,서울,2025-07-08 04:00,27.4,,,,1.3,,88,
108,서울,2025-07-08 05:00,27,,,,1.5,,88,
108,서울,2025-07-08 06:00,27,,,,1.5,,88,
108,서울,2025-07-08 07:00,27.7,,,,2,,85,
108,서울,2025-07-08 08:00,29.5,,,,2.5,,77,
108,서울,2025-07-08 09:00,31.1,,,,1.9,,72,
108,서울,2025-07-08 10:00,32.7,,,,2.3,,65,
108,서울,2025-07-08 11:00,34.4,,,,2,,60,
108,서울,2025-07-08 12:00,35.3,,,,2.1,,56,
108,서울,2025-07-08 13:00,35.2,,,,2.7,,55,
108,서울,2025-07-08 14:00,36.7,,,,2.3,,51,
108,서울,2025-07-08 15:00,37.4,,,,1.3,,48,
108,서울,2025-07-08 16:00,36.6,,,,2.5,,49,
108,서울,2025-07-08 17:00,37.2,,,,2.2,,49,
108,서울,2025-07-08 18:00,36,,,,4.1,,57,
108,서울,2025-07-08 19:00,27.9,,6.4,,6.3,,80,
108,서울,2025-07-08 20:00,27.2,,4.9,,1.4,,81,
108,서울,2025-07-08 21:00,27.4,,.5,,2.2,,87,
108,서울,2025-07-08 22:00,27.8,,0,,.9,,84,
108,서울,2025-07-08 23:00,28.1,,,9,.7,,84,
108,서울,2025-07-09 00:00,28.2,,,9,2,,85,
108,서울,2025-07-09 01:00,28.3,,,,.9,,81,
108,서울,2025-07-09 02:00,28.3,,,,1.1,,79,
108,서울,2025-07-09 03:00,28,,,,1.1,,82,
108,서울,2025-07-09 04:00,27.8,,,,1.9,,81,
108,서울,2025-07-09 05:00,27.6,,,,1.8,,82,
108,서울,2025-07-09 06:00,27.5,,,,2.4,,80,
108,서울,2025-07-09 07:00,27.9,,,,1.7,,77,
108,서울,2025-07-09 08:00,29.7,,,,2.7,,71,
108,서울,2025-07-09 09:00,31.3,,,,2.3,,63,
108,서울,2025-07-09 10:00,32.3,,,,2.8,,62,
108,서울,2025-07-09 11:00,33.6,,,,2.5,,57,
108,서울,2025-07-09 12:00,33.8,,,,2.2,,55,
108,서울,2025-07-09 13:00,34,,,,2.3,,53,
108,서울,2025-07-09 14:00,35.4,,,,2.5,,48,
108,서울,2025-07-09 15:00,35.4,,,,2.2,,48,
108,서울,2025-07-09 16:00,35.5,,,,2.1,,46,
108,서울,2025-07-09 17:00,35.4,,,,1.9,,47,
108,서울,2025-07-09 18:00,35.3,,,,1.8,,48,
108,서울,2025-07-09 19:00,34.4,,,,2,,51,
108,서울,2025-07-09 20:00,33.5,,,,2.2,,53,
108,서울,2025-07-09 21:00,32.9,,,,1.3,,54,
108,서울,2025-07-09 22:00,32.1,,,,3.3,,54,
108,서울,2025-07-09 23:00,31.3,,,,3.1,,58,
108,서울,2025-07-10 00:00,30.9,,,,3.1,,59,
108,서울,2025-07-10 01:00,30.1,,,,2.3,,62,
108,서울,2025-07-10 02:00,29.3,,,,2.6,,64,
108,서울,2025-07-10 03:00,28.7,,,,2,,65,
108,서울,2025-07-10 04:00,28.2,,,,2.4,,64,
108,서울,2025-07-10 05:00,27.8,,,,2.1,,63,
108,서울,2025-07-10 06:00,27.3,,,,3.7,,64,
108,서울,2025-07-10 07:00,27.6,,,,2.8,,63,
108,서울,2025-07-10 08:00,29.4,,,,3,,55,
108,서울,2025-07-10 09:00,31,,,,2.2,,49,
108,서울,2025-07-10 10:00,32.1,,,,3,,43,
108,서울,2025-07-10 11:00,33.4,,,,2.9,,42,
108,서울,2025-07-10 12:00,34.1,,,,3.2,,42,
108,서울,2025-07-10 13:00,34.5,,,,3.2,,40,
108,서울,2025-07-10 14:00,35.4,,,,3,,39,
